,ケーキ,cake,1,名,蛋糕,,,,
,ばんりのちょうじょう,万里の長城,-1,名,万里长城,,,,
着ます,きる,着る,0,動Ⅱ,穿(衬衫等上衣、外衣),着物を着ます(きものをきます):穿和服。,他,,
,おさがしですか,お探しですか,-1,,您在找~吗?,,,,
,ふどうさんや,不動産屋,0,名,房屋中介,,,,
,やちん,家賃,1,名,房租,,,,
,では,,1,接,那么,,,,
,こちら,,0,名,这(「これ」的礼貌用语),,,,
,ダイニングキッチン,,6,名,带餐厅的厨房,和 dining+kitchen,,,
,わしつ,和室,0,名,日式房间,,,,
,おしいれ,押入れ,0,名,日式壁橱,,,,
,ふとん,布団,0,名,被褥,,,,
,めがね,眼鏡,1,名,眼镜,,,,
かけます,かける,,2,動Ⅱ,戴、佩戴,眼鏡をかけます(めがねをかけます):戴眼镜,他,,
,パリ,,1,名,巴黎,Paris,,,
,ぼうし,帽子,0,名,帽子,,,,
,コート,,1,名,大衣,coat,,,
履きます,はく,履ㄑ,0,動Ⅰ,穿(鞋子、裤子等),靴を履きます(くつをはきます):穿鞋。,他,,
します,する,,0,動Ⅲ,穿、戴,ネクタイをします:系领带,他,,
被ります,かぶる,被る,2,動Ⅰ,戴(帽子等),帽子を被ります(ぼうしをかぶります):戴帽子。,他,,
生まれます,うまれる,生まれる,0,動Ⅱ,出生,,自,,
,[お]べんとう,お弁当,0,名,盒饭,,,,
,わたしたち,私達,3,名,我们,,,,
,ユーモア,humour,1,名,幽默,,,,
,ロボット,,1|2,名,机器人,robot,,,
,つごう,都合,0,名,方便、凑巧,,,,
,よく,,1,副,经常,,,,
,セ一夕一,,1,名,毛衣,sweater,,,
,スーツ,,1,名,套装,suits,,,
,えーと,,-1,感,那个(用于思考时),,,,
,おめでとう[ごどいます],,-1,感,祝你~快乐。(生日、结婚、过年等时候使用),,,,
,せいじんしき,成人式,3,名,成人礼,,,,
,みんなのアンケート,,-1,名,大家的调查(虚构的问卷调查题目),,,,
