貼ります,はる,貼る,0,動Ⅰ,贴,,他,,
,ひきだし,引き出し,0,名,抽屉,,,,
仕舞います,しまう,仕舞う,0,動Ⅰ,收拾整理,,他,,
,もと,元,1,名,以前、过去、原来,元の所(もとのところ):原处,,,
戻します,もどす,戻す,2,動Ⅰ,返还、还原,,他,,
,そのまま,其の儘,4,名,原来的状态,,,,
そのままにします,そのままにする,,-1,動Ⅲ,保持原状,,他,,
,まだ,未だ,1,副,还,まだ使っています(まだつかっています):还在使用。,,,
,ひじょうぶくろ,非常袋,4,名,应急备用包,,,,
,リュック,,1,名,帆布背包(「リコックサック的略称),,,,
,ひじょうじ,非常時,2,名,发生紧急状况时,,,,
生活します,せいかつする,生活する,0,動Ⅲ,生活,,自,,
,かいちゅうでんとう,懐中電灯,5,名,手电,,,,
,~とか、~とか,,-1,助,~啦，~啦(表示列举),,,,
,カレンダー,,2,名,月历,calendar,,,
,よてい,予定,0,名,预定、计划,,,,
掛けます,かける,掛ける,2,動Ⅱ,挂,壁に絵を掛けます(かべにえをかけます):把画挂在墙上。,他,,
,かべ,壁,0,名,墙壁,,,,
並ベます,ならべる,並べる,0,動Ⅱ,排列,,他,,
,ごみばこ,ごみ箱,4|2|3,名,垃圾箱,,,,
,すみ,隅,1,名,角落,,,,
,よていひょう,予定表,0,名,计划表,,,,
決めます,きめる,決める,0,動Ⅱ,决定,名前を決めます(なまえをきめます):决定名字。,他,,
,にんぎょう,人形,0,名,偶人,,,,
飾ります,かざる,飾る,0,動Ⅰ,装饰,,他,,
,かがみ,鏡,3,名,镜子,,,,
,かびん,花瓶,0,名,花瓶,,,,
,まんなか,真ん中,0,名,正中间,,,,
植えます,うえる,植える,0,動Ⅱ,种植,木を植えます(きをうえます):植树,他,,
,いけ,池,2,名,池塘、水池,,,,
,まわり,周り,0,名,周围,,,,
,じゅぎょう,授業,1,名,课、课程,,,,
予習します,よしゅうする,予習する,0,動Ⅲ,预习,,他,,
復習します,ふくしゅうする,復習する,0,動Ⅲ,复习,,他,,
,ガイドブック,,4,名,指南、入门书,guide book,,,
,こうぎ,講義,1|3,名,讲义、上课,,,,
まとめます,まとめる,,0,動Ⅱ,收拾(行李)、完成(报告),,他,,
,ボスター,,1,名,海报、招贴画,poster,,,
,おしらせ,お知らせ,-1,名,通知,,,,
,ろうか,廊下,0,名,走廊,,,,
,げんかん,玄関,1,名,门口、入口,,,,
,ミーティング,,0,名,会议,meeting,,,
,まるい,丸い,0,イ形,圆的,,,,
,ある~,,1,連体,某~、某个~,ある日(あるひ):某天,,,
夢を見ます,ゆめをみる,夢を見る,-1,動Ⅱ,做梦,,他,,
,うれしい,嬉しい,3,イ形,高兴,,,,
,いや,嫌,2,ナ形,讨厌、不喜欢,,,,
,すると,,0,接,于是,,,,
覚めます,さめる,覚める,2,動Ⅱ,醒来、恢复到意识清醒的状态,,自,,
目が覚めます,めがさめる,目が覚める,1|2,動Ⅱ,醒来、睁眼,,自,,
