いただきます,いただく,,0,動Ⅰ,得到、收到(「もらいます」的谦逊语),,他,,
くださいます,くださる,,-1,動Ⅰ,给我(「れます」的尊敬语),,他,,
,かみひこうき,紙飛行機,4,名,纸飞机,,,,
やります,やる,,0,動Ⅰ,给(用于给比自己年纪小、职位低的人或动植物等某物时),,他,,
,おいわい,お祝い,0,名,贺、贺礼(~をします:祝贺、送贺礼),,,,
,さる,猿,1,名,猴子,,,,
,えさ,餌,2|1,名,饵料,,,,
,このあいだ,この間,0,名,前些天、前几天,,,,
親切にします,しんせつにする,親切にする,-1,動Ⅲ,和气、热情,,自,,
,ひとこと,一言,2,名,(说上)一句,,,,
,~ずつ,,-1,助,每~(表示固定的同数量的分配),,,,
,ふたり,二人,3,名,两人(可指情侣、夫妻),,,,
,おたく,お宅,0,名,府上(「うち」和「い元」的尊敬语),,,,
,どうそおしあわせに,どうそお幸せに,-1,,祝你们幸福。,,,,
,まご,孫,2,名,(自己的)孙子、外孙,,,,
,ようちえん,幼稚園,3,名,幼儿园,,,,
,くつした,靴下,2|4,名,袜子,,,,
,えはがき,絵葉書,2,名,明信片,,,,
,おば,叔母,0,名,(自己的)姑姑、姨、伯母、婶婶、舅妈,,,,
,おばさん,,0,名,(别人的)姑姑、姨、伯母、婶婶、舅妈,,,,
,おじ,,0,名,(自己的)叔叔、伯父、舅舅,,,,
,おじさん,,-1,名,(别人的)叔叔、伯父、舅舅,,,,
,てぶくろ,手袋,2,名,手套,,,,
,ハンカチ,,0|3,名,手绢(「ハンカチーフ」的略称),,,,
,そば,祖母,1,名,(白己的)祖母外祖母,,,,
,そふ,祖父,1,名,(自己的)祖父、外祖父,,,,
,おとしだま,お年玉,0,名,压岁钱,,,,
,ぶんぽう,文法,0,名,语法,,,,
,はつおん,発音,0,名,发音,,,,
,おもちゃ,玩具,2,名,玩具,,,,
,えほん,絵本,2,名,图画书、小人书,,,,
,きかた,着方,2,名,(衣服的)穿法,,,,
,おまごさん,お孫さん,0,名,(别人的)孙子、外孙,,,,
,きょうみ,興味,1|3,名,爱好、兴趣([コンピューターに]~があります:对[电脑]感兴趣),,,,
,だんばう,暖房,0,名,暖气,,,,
,れいばう,冷房,0,名,冷气,,,,
,おんど,温度,1,名,温度,,,,
上げます,あげる,上げる,0,動Ⅱ,调高、提高、改善,,他,,
下げます,さげる,下げる,2,動Ⅱ,调低、降低、放低,,他,,
,じようほう,情報,0,名,信息,,,,
,かわいい,可愛い,3,イ形,可爱,,,,
,かんりにん,管理人,0|3,名,(公寓等的)管理员,,,,
,~さん,,-1,接尾,为了表示礼貌，接续在职业名、职务名称之后的接尾词,,,,
,ドライバー,,2|0,名,改锥,driver,,,
,[お]みまい,お見舞い,0,名,探视(病人)、慰问品,,,,
,めずらしい,珍しい,4,イ形,珍奇、罕见,,,,
,うらしまたろう,浦島太郎,-1,名,浦岛太郎(传说故事中主人公的名字),,,,
,むかしばなし,昔話,4,名,传说、故事,,,,
,ある~,,1,連体,某~、某个~,,,,
,おとこ,男,3,名,男人、男子,,,,
,こどもたち,子どもたち,3,名,孩子们,,,,
虐めます,いじめる,虐める,0,動Ⅰ,欺负,,他,,
,かめ,亀,1,名,乌龟,,,,
助けます,たすける,助ける,3,動Ⅱ,帮助、救助,,他,,
,やさしい,優しい,0,イ形,温柔、亲切,,,,
,おひめさま,お姫様,2,名,公主,,,,
暮らします,くらしす,暮らす,0,動Ⅰ,生活、度日,,自他,,
,りく,陸,0,名,陆地,,,,
,すると,,0,接,于是,,,,
,けむり,煙,0,名,烟,,,,
,まっしろ,真っ白,3,ナ形,雪白、纯白,,,,
,なかみ,中身,2,名,装在其中的东西、内容,,,,
