,〜ベん,〜弁,-1,接辞,~方言,大阪弁(おおさかべん):大阪话、大阪方言,,,
,エドヤストア,江户屋,4,名,江户屋(虚构的商店),,,,
遲れます,おくれる,遅れる,0,動Ⅱ,晚了、没赶上,時間に遅れます(じかんにおくれます):没赶上时间。,自,に,
見ます,みる,見る,1,動Ⅱ,看,,他,,
診ます,みる,診る,1,動Ⅱ,诊断,,他,,
,こっかいきじどう,国会議事堂,0|6,名,国会议事堂,,,,
,ちよくせつ,直接,0,副,直接,,,,
,へいじつ,平日,0,名,平日,,,,
,いつでも,,1|3,連語,随时,,,,
,どこでも,,-1,連語,在任何地方都~,,,,
,だれでも,,-1,連語,任何人都~,,,,
,なんでも,何でも,-1,連語,什么都~,,,,
,ごみ,,2,名,垃圾,,,,
出します,だす,出す,1,動Ⅰ,扔,ごみを出します(ごみをだします):扔垃圾。,他,,
片付きます,かたづく,片付く,3,動Ⅰ,收拾,荷物が片付きます(にもつがかたづきます):收拾行李。,自,,
,もえるごみ,燃えるこみ,-1,名,可燃垃圾,,,,
,おきば,置き場,0,名,放置场所,ゴミ置き場(ゴミおきば):垃圾场,,,
,よこ,横,0,名,旁边,,,,
,ひん,瓶,1,名,瓶,,,,
,かん,缶,1,名,罐,,,,
,ガス,,1,名,煤气,gas会社(ガスがいしゃ):煤气公司;~会社(~がいしゃ):~公司,,,
連絡します,れんらくする,連絡する,0,動Ⅲ,联系,,他,,
,うんどうかい,運動会,3,名,运动会,,,,
,つごうがわるい,都合が悪い,-1,連語,时机不好、不方便,,,,
,フリーマーケット,,4,名,跳蚤市场,flea market,,,
,ずいぶん,随分,1,副,极其、相当,,,,
やります,やる,,0,動Ⅰ,做、干、搞,,自,,
,ばんおどり,盆踊り,3,名,盂兰盆会舞,,,,
,さいぶ,財布,0,名,钱包,,,,
,きぶんがいい,気分がいい,-1,連語,舒服,,,,
,きぶんがわるい,気分が悪い,-1,連語,不舒服,,,,
間に各います,まにあう,間に合う,3,動Ⅰ,赶上,時間に間に合います(じかんにまにあいます):赶上时间。,自,に,
,こんビ,今度,1,名,这次、下次,,,,
拾います,ひろう,拾う,0,動Ⅰ,拾、捡,,他,,
,ばしょ,場所,0,名,场所、地点,,,,
,そんな,,-1,連体,那样的(离听话人较近),そんな人(そんなひと):那样的人,,,
,こんな~,,-1,連体,这样的~,,,,
,あんな~,,-1,連体,那样的~(离说话人和听话人都较远),,,,
探します,さがす,探す,0,動Ⅰ,寻找,,他,,
搜します,さがす,搜す,0,動Ⅰ,寻找,,他,,
,ポランティア,,2,名,义工、志愿者,volunteer,,,
,うちゅう,宇宙,1,名,宇宙,,,,
,ほしであきひこ,星出彰彦,-1,名,星出彰彦(1968-日本宇航员),,,,
,~さま,~様,-1,接辞,~先生、~女士,「~さん」的尊敬语,,,
,うちゅうせん,宇宙船,0,名,宇宙飞船,,,,
,こわい,怖い,2,イ形,害怕、可怕,,,,
,うちゅうステーション,宇宙station,5,名,航天站,,,,
違います,ちがう,違う,0,動Ⅰ,不一样,,自,,
,うちゅうひこうし,宇宙飛行士,6,名,宇航员,,,,
