なさいます,なさる,,2,動Ⅰ,做(「します」的尊敬语),,他,,
,おまちください,お待ちください,-1,,请等一下。,,,,
ご覧になります,ごらんになる,ご覧になる,5,動Ⅰ,看(「みます」的尊敬语),,他,,
,たまに,,0,副,偶尔,,,,
おっしゃいます,おっしゃる,,3,動Ⅰ,说、叫(「いいます」的尊敬语),,自,,
勤めます,つとめる,勤める,3,動Ⅱ,工作,会社に勤めます(かいしゃにつとめます):在公司工作。,自他,に,
いらっしゃいます,いらっしゃる,,4,動Ⅰ,在、去、来(「います」「いきます」「きます」的尊敬语),,自,,
,ひまわりしょうがっこう,向日葵小学校,7,名,向日葵小学(虚构的小学),,,,
,一ねんーくみ,一年一組,-1,,一年级一班,,,,
出します,だす,出す,1,動Ⅰ,发(烧),熱を出します(ねつをだします):发烧。,他,,
,よろしくおつたえください,よろしくお伝えください,-1,,请代我问好。,,,,
,しつれいいたします,失礼いたします,-1,,告辞了。(「しつれいします」的谦逊语),,,,
,ごぞんじです,ご存知です,-1,,知道(「しっています」的尊敬语),,,,
召し上がります,めしあがります,召し上がる,0|4,動Ⅰ,吃、喝(「たべます」「のみます」的尊敬语),,他,,
掛けます,かける,掛ける,2,動Ⅱ,坐,椅子に掛けます(いすにかけます):坐在椅子上。,他,に,
,おくさま,奥様,1,名,(别人的)夫人(「おくさん」的尊敬语),,,,
,~さま,~様,-1,接辞,~先生、~女士(「~ん」的尊敬语),,,,
,バスてい,バス停,0,名,公业汽车站,,,,
,りよかん,旅館,0,名,旅馆,,,,
,あいさつ,挨拶,1,名,寒暄、问候、贺词(~をします:寒暄、问候、致辞),,,,
,~といいます,,-1,,叫~,,,,
過ごします,すごす,過ごす,2,動Ⅰ,过、度过,,他,,
,どなたでも,,-1,,任何一位都(「だれでも」的尊敬语),,,,
利用します,りようする,利用する,0,動Ⅲ,利用,,他,,
,やまなかしんや,山中伸弥,-1,,山中伸弥(1962ー，日本医学家),,,,
,けいれき,経歷,0,名,经历,,,,
,いがくぶ,医学部,3,名,医学系,,,,
目指します,めざす,目指す,2,動Ⅰ,以~为目标,,他,,
進みます,すすむ,進む,0,動Ⅰ,升(学),,自,,
,iPSさいばう,iPS細胞,7,名,iPS细胞(诱导多功能干细胞),,,,
開発します,かいはつする,開発する,0,動Ⅲ,开发研制,,他,,
,マウス,,1,名,老鼠,mouse,,,
,ヒ卜,人,0,名,人,,,,
,ノーベルしょう,Nobel賞,4,名,诺贝尔奖,,,,
受賞します,じゅしょうする,受賞する,0,動Ⅲ,获奖,,自他,,
,こうえんかい,講演会,3,名,演讲会,,,,
