読みます,よむ,読む,1,動Ⅰ,读,,他,,
買います,かう,買う,0,動Ⅰ,买,,他,,
,いっしょに,一緒に,0,副,一起,,,,
,ちよっと,,1,副,一会儿、一点儿,,,,
,[お]さけ,お酒,0,名,酒、日本酒,,,,
飲みます,のむ,飲む,1,動Ⅰ,喝,,他,,
,なに,何,1,名,什么,,,,
食べます,たべる,食べる,2,動Ⅱ,吃,,他,,
,パン,,1,名,面包,葡pāo,,,
,たまご,卵,2,名,鸡蛋,,,,
します,する,,0,動Ⅲ,做、干,,自他,,
,それから,,0,接,然后,,,,
見ます,みる,見る,1,動Ⅱ,看,,他,,
,メキシコ,,0|2,名,墨西哥,Mexico,,,
,ええ,,-1,感,嗯、是,,,,
,いいですね,,-1,,好啊。,,,,
会います,あう,会う,1,動Ⅰ,见面,友達に会います(ともだちにあいます):跟朋友见面。,自,に,
,わかりました,分かりました,-1,,明白了。,,,,
,なんですか,何ですか,-1,,什么(事儿)?,,,,
,[お]はなみ,お花見,-1,名,看花、赏花(~をします:赏花),,,,
,じゃ、また[あした],,-1,,那[明天]见。,,,,
,くだもの,果物,2,名,水果,,,,
,にく,肉,2,名,肉,,,,
,やさい,野菜,0,名,蔬菜,,,,
,サッ力一,,1,名,足球(~をします:踢足球),soccer,,,
,ピデオ,,1,名,录像带、录像机,video,,,
,こうちゃ,紅茶,0,名,红茶,,,,
,みせ,店,2,名,店,,,,
,おちゃ,お茶,0,名,茶、日本茶,,,,
聞きます,きく,聞く,0,動Ⅰ,听,,他,,
,みず,水,0,名,水,,,,
,てがみ,手紙,0,名,信,,,,
書きます,かく,書く,1,動Ⅰ,写(「かきます」也有“画”的意思。在本书中，这一动词以“画”的意思出现时，使用平假名「かきます」表示。),,他,,
,しゃしん,写真,0,名,照片,,,,
撮ります,とる,撮る,1,動Ⅰ,照、拍摄,写真を撮ります(しゃしんをとります):照相。,他,,
,たばこ,,0,名,香烟,tabaco,,,
吸います,すう,吸う,0,動Ⅰ,吸、抽(烟),たばこを吸います:(たばこをすいます)抽烟。,他,,
,ジュース,,1,名,果汁,juice,,,
,さかな,魚,0,名,鱼,,,,
,レポート,,2,名,报告、小论文,report,,,
,にわ,庭,0,名,庭院、院子,,,,
,ひるごはん,昼ごはん,3,名,午饭,,,,
,ぎゅうにゅう,牛乳,0,名,牛奶(=「ミルク」),,,,
,しゅくだい,宿題,0,名,作业(~をします:写作业),,,,
,ごはん,,1,名,米饭、饭,,,,
,ピール,beer,1,名,啤酒,,,,
,いつも,,1,副,经常、总是,,,,
,まいにちや,每日屋,-1,名,每日屋(虚构的超市),,,,
,ときどき,時々,2,副,有时,,,,
,フランスや,,-1,名,法国屋(虚构的超市),France屋,,,
,おおさかデパート,,-1,名,大阪百货商店(虚构的百货商店),大阪department,,,
,つるや,鶴屋,-1,名,鹤屋(虚构的餐厅),,,,
,テニス,,1,名,网球(~をします:打网球),tennis,,,
,あさごはん,朝ごはん,3,名,早饭,,,,
,ばんごはん,晚ごはん,3,名,晚饭,,,,
