,JL,,-1,名,日本航空公司,,,,
,一びん,一便,1,名,一航班,,,,
到着します,とうちゃくする,到着する,0,動Ⅲ,到达,,自,,
出発します,しゅっぱつする,出発する,0,動Ⅲ,出发,,自,,
,にじかい,二次会,0|2,名,在正式宴会结束后再次聚会喝酒,,,,
酔います,よう,酔う,1,動Ⅰ,醉,,自,,
,たかさ,高さ,1,名,高度,,,,
,ながさ,長さ,1,名,长度,,,,
測ります,はかる,測る,2,動Ⅰ,测量、量、称,,他,,
量ります,はかる,量る,2,動Ⅰ,测量、量、称,,他,,
,ばうねんかい,忘年会,3,名,辞旧迎新会,,,,
,しんねんかい,新年会,3,名,新年联欢会,,,,
,まちがい,間違い,3,名,错、错误,,,,
,ながさき,長崎,2,名,长崎(长崎县县政府所在地),,,,
,どうでしょうか,,-1,,怎么样?(「どうですか」的礼貌用语),,,,
,テスト,,1,名,测验、考试,test,,,
,せいせき,成績,0,名,成绩,,,,
,ところで,,3,接,可是(转换话题时使用),,,,
いらっしゃいます,いらっしゃる,,4,動Ⅰ,来(「きます」的尊敬用语),,自,,
,ようす,様子,0,名,样子、情况、情形,,,,
出ます,でる,出る,1,動Ⅱ,出,問題が出ます(もんだいがでます):出考题,自,,
確かめます,たしかめます,確かめる,4,動Ⅱ,确认,,他,,
,きず,傷,0,名,伤、损伤,,,,
,おもて,表,3,名,表面、正面,,,,
,うら,裹,2,名,反面、里面,,,,
相談します,そうたんする,相談する,0,動Ⅲ,商量、商议,,他,,
数えます,かぞえる,数える,3,動Ⅱ,数,,他,,
,一ほん,一本,-1,助数,一根、一条(数细长物品时的量词),,,,
,一こ,一個,-1,助数,一个(数小物品时的量词),,,,
,一はい,一杯,-1,助数,一杯(数装在玻璃杯中的饮料时的量词),,,,
,一ゼンチ,,-1,名,一厘米,法centi,,,
,一ミリ,,-1,名,一毫米,法milli,,,
,一グラム,,-1,名,一克,gram,,,
うまくいきます,うまくいく,,1,動Ⅰ,进展顺利,,自,,
,ひつよう,必要,0,ナ形,必要、需要,,,,
,てんきよほう,天気予報,4,名,天气预报,,,,
,おもさ,重さ,0,名,重量,,,,
,おおきさ,大きさ,0,名,大小,,,,
,~いか,~以下,1,名,~以下、低于~,,,,
,~いじょう,~以上,1,名,~以上、超过~,,,,
,ズボン,,1|2,名,裤子,法jupon,,,
合います,あう,合う,1,動Ⅰ,合适,サイズが合います(サイズがあいます):尺码合适。,自,,
,はっぴょうかい,発表会,3,名,发表会,,,,
,[お]としより,お年寄り,0,名,老人,,,,
,コンテスト,,1,名,比赛、竞赛,contest,,,
,マラソン,,0,名,马拉松,marathon,,,
,たいかい,大会,0,名,大会,,,,
,せんだい,仙台,-1,名,仙台(宫城县县政府所在地),,,,
,たなばたまつり,七夕祭り,-1,名,七夕,,,,
,とうしょうぐう,東照宮,3,名,东照宫(位于栃木县日光市的祭奠德川家康的神社),,,,
,じけん,事件,1,名,事件、案件,,,,
,オ一トバイ,,3,名,摩托车,和auto+bicycle,,,
,ばくだん,爆弹,0,名,炸弹,,,,
積みます,つむ,積む,0,動Ⅰ,堆积、装载,,他,,
,うんてんしゅ,運転手,3,名,司机,,,,
離れます,はなれた,離れた,-1,動Ⅱ,离开一段距离的~,,自,,
,きゅうに,急に,0,副,突然,,,,
動かします,うごかす,動かす,3,動Ⅰ,开动、发动,,他,,
,いっしょうけんめい,一生懸命,5,ナ形,努力、拼命,,,,
,はんにん,犯人,1,名,犯人,,,,
,おとこ,男,3,名,男人、男子,,,,
手に入れます,てにいれる,手に入れる,1,動Ⅱ,到手、得到,,他,,
,いまでも,今でも,-1,,现在仍然,,,,
