磨きます,みがく,磨く,0,動Ⅰ,刷,齒を磨きます(はをみがきます):刷牙,他,,
組み立てます,くみたてる,組み立てる,0|4,動Ⅱ,组装,,他,,
,せつめいしょ,説明書,0|5,名,说明书,,,,
,スポーツクラブ,,-1,名,体育俱乐部,sport club,,,
,くろ,黑,1,名,黑色(名词),,,,
,しろ,白,1,名,白色(名词),,,,
,あか,赤,1,名,红色(名词),,,,
,あお,青,1,名,蓝色(名词),,,,
,~か~,,-1,助,~或~,,,,
,こん,紺,1,名,深蓝色(名词),,,,
,きいろ,黄色,0,名,黄色(名词),,,,
,ちゃいろ,茶色,0,名,棕色(名词),,,,
,ソース,,1,名,沙司、辣椒酱,sauce,,,
つけます,つける,,2,動Ⅱ,蘸,しょうゆをつけます:蘸酱油。,他,,
,さどう,茶道,1,名,茶道,,,,
お茶を立てます,おちゃをたてる,お茶を立てる,-1,動Ⅱ,(茶道的)泡茶、沏茶,,他,,
,さきに,先に,0,副,先、首先,,,,
載せます,のせる,載せる,0,動Ⅱ,载、放,,他,,
,これでいいですか,,-1,,这样可以吗?,,,,
,いかがですか,,-1,,怎么样?,,,,
,にがい,苦い,2,イ形,苦,,,,
,さっき,,1,副,刚才,,,,
折ります,おる,折る,1,動Ⅰ,折弯、折断木の枝を折ります,(きのえだをおります):折断树枝。,他,,
,ず,図,1,名,图,,,,
,せん,線,1,名,线,,,,
,やじるし,矢印,2,名,箭头、箭头符号,,,,
,[お]しろ,お城,2,名,城,,,,
質問します,しつもんする,質問する,0,動Ⅲ,提问,先生に質問します(せんせいにしつもんします):向老师提问。,自他,,
見つかります,みつかる,見つかる,1|0,動Ⅰ,找到,かぎが見つかります(かぎがみつかります):找到钥匙。,自,,
気がつきます,きがつく,気がつく,1|0,連語,发现、发觉,忘れ物に気がつきます(わすれものにきがつきます):发现忘了东西。,自,,
さします,さす,,1,動Ⅰ,打(伞),傘をさします(かさをさします):打伞。,自他,,
,ゆうべ,夕べ,3,名,昨晚,,,,
,おきゃく[さん],お客さん,0,名,顾客、客户,,,,
,おやこどんぶり,親子丼,4,名,鸡肉鸡蛋盖浇饭,,,,
,どいりょう,材料,3,名,材料,,,,
,~ぶん,~分,-1,接辞,~份(表示量),,,,
,一グラム,,1,名,一克,一gram,,,
,一こ,一個,-1,助数,一个(数小件物品时使用的量词),,,,
,たまねぎ,玉ねぎ,3,名,洋葱,,,,
,よんぶんのいち,4分の1,-1,,四分之一,,,,
,ちょうみりょう,調味料,3,名,调料,,,,
,しょうゆ,醤油,0,名,酱油,,,,
,てきとう,適当,0,ナ形,适当,,,,
,おおきさ,大きさ,0,名,大小,適当な大きさに(てきとうおおきさ):适当的大小,,,
,なべ,鍋,1,名,锅,,,,
,ひ,火,1,名,火,,,,
火にかけます,ひにかける,火にかける,1|2,連語,放在火上,,他,,
煮ます,にる,煮る,0,動Ⅱ,煮、炖,,他,,
煮えます,にえる,煮える,0,動Ⅱ,煮熟,,自,,
経ちます,たつ,経つ,1,動Ⅰ,流逝、过去,,自,,
,どんぶり,丼,0,名,大碗,,,,
