,ガム,,1,名,口香糖,gum,,,
噛みます,かむ,噛む,1,動Ⅰ,嚼、咬,ガムを噛みます(ガムをかみます):嚼口香糖。,他,,
,しばらく,,2,副,一会儿、不久,,,,
,えらい,偉い,2,イ形,伟大、了不起,,,,
,たいてい,大抵,0,副,大部分、大体、普通,,,,
,ねっしん,熱心,1|3,ナ形,热心,,,,
,それに,,-1,接,而且,,,,
,けいけん,経験,0,名,经验(~があります:有经验;~をします:经验),,,,
選ひます,えらぶ,選ぶ,2,動Ⅰ,选择,,他,,
,[ちゅっと]おねがいがあるんですが,[ちゅっと]お願いがあるんですが。,-1,,有件事想麻烦一下,,,,
,じつは,実は,2,副,其实、实际上,,,,
,かいわ,会話,0,名,会话,,,,
,うーん,,0,感,嗯……,,,,
,むすこ,息子,0,名,(自己的)儿子,,,,
,むすこさん,息子さん,-1,名,(别人的)儿子,,,,
,むすめ,娘,3,名,(自己的)女儿,,,,
,むすめさん,娘さん,-1,名,(别人的)女儿,,,,
,まじめ,真面目,0,ナ形,认真,,,,
,ちから,力,3,名,力量、力气,力が強い(ちからがつよい):力气大、有力气、有力量,,,
,ねだん,値段,0,名,价钱,,,,
,あじ,味,0,名,味道(指味觉),,,,
踊ります,おどる,踊る,0,動Ⅰ,跳舞,,自,,
メモします,メモする,,0,動Ⅲ,记笔记,memoする,他,,
,ゲーム,,1,名,游戏、电子游戏,game,,,
,ばんぐみ,番組,0,名,节目,,,,
,ドラマ,,1,名,电视剧,drama,,,
,テレビドラマ,,-1,名,电视剧,,,,
,ラジオドラマ,,-1,名,广播剧,,,,
通います,かよう,通う,0,動Ⅲ,上(学)、定期往返,大学に通います(だいがくにかよいます):上大学。,自,に,
,~き,~機,-1,,~机(接尾词，表示某种机械),,,,
,びよういん,美容院,2,名,美容院,,,,
,だいどころ,台所,0,名,厨房,,,,
,かたち,形,0,名,形状、样子,,,,
,いろ,色,2,名,颜色,,,,
,しなもの,品物,0,名,物品、商品,,,,
,ちょうどいい,,-1,,正好,,,,
,けしき,景色,1,名,景色,,,,
売れます,うれる,売れる,0,動Ⅱ,卖得好、畅销,パンが売れます(パンがうれます):面包很畅销。,自,,
,かしょ,歌手,1,名,歌手,,,,
,にんき,人気,0,名,受欢迎、有人缘([がくせいに]~があります很受[学生]欢迎),,,に,
,ボーナス,,1,名,奖金,bonus,,,
,きゅうりょう,給料,1,名,工资,,,,
,しょうらい,将来,1,名,将来,,,,
,~か,~家,-1,,~家(接尾词，表示专门研究某一学问或从事某种艺术行业的人),,,,
,しょうせつか,小説家,0,名,小说家,,,,
,しょうせつ,小説,0,名,小说,,,,
,じぶん,自分,0,代,自己,,,,
,それで,,-1,接,因此,,,,
,おしらせ,お知らせ,0,名,通知,,,,
参加します,さんかする,参加する,0,動Ⅲ,参加,,自,,
,ひにち,日にち,0,名,日期,,,,
,ど,土,1,名,星期六,,,,
,たいいくかん,体育館,4|3,名,体育馆,,,,
,むりょう,無料,0|1,名,免费,,,,
誘います,さそう,誘う,0,動Ⅰ,劝诱、邀请,,他,,
,イベント,,-1,名,活动,event,,,
