思います,おもう,思う,2,動Ⅰ,想、觉得,,他,,
留学します,りゅうがくする,留学する,0,動Ⅲ,留学,,自,,
言います,いう,言う,0,動Ⅰ,说、讲,,他,,
,たぶん,多分,1,副,大概、也许,,,,
,ニュース,,1,名,新闻,news,,,
,~について,,-1,複助,关于~,,,,
,ぶっか,物価,0,名,物价,,,,
,かぐやひめ,かぐや姫,-1,名,辉夜姬(日本传说《竹取物语》中的主人公),,,,
,つき,月,2,名,月亮,,,,
,いけん,意見,1,名,意见,,,,
,むだ,無駄,0,ナ形,浪费,,,,
あります,ある,,1,動Ⅰ,举行、有,お祭りがあります(おまつりがあります):有节庆活动。,自,,
,久しぶりですね,,-1,,好久不见。,,,,
,~でものみませんか,~でも飲みませんか,-1,,喝点儿~什么吗?,,,,
,ビールでも,,-1,,啤酒什么的,,,,
,しあい,試合,0,名,比赛(~をします:比赛),,,,
勝ちます,かつ,勝つ,1,動Ⅰ,赢,,自,,
負けます,まける,負ける,0,動Ⅱ,输,,自,,
,もちろん,勿論,2,副,当然,,,,
,さいきん,最近,0,名,最近,,,,
,もうかえらないと,もう帰らないと,-1,,该回去了……,,,,
,マンガ,漫画,0,名,漫画,,,,
,ほんとう,本当,0,名,真的,,,,
,うそ,嘘,1,名,假话,,,,
辞めます,やめる,辞める,0,動Ⅱ,辞职、退休、戒(烟、酒),会社をやめます(かいしゃをやめます):跟公司辞职。,他,,
,ヨーネン,,-1,名,有耐(虚构的公司),,,,
,きっと,,0,副,一定、必定,,,,
,デザイン,,2,名,设计,,,,
役に立ちます,やくにたつ,役に立つ,4,動Ⅰ,有用、起作用,,自,,
,じどうしゃ,自動車,2|0,名,汽车,,,,
,アニメ,,1|0,名,动画(「アニメーション」的略称),,,,
,こうつう,交通,0,名,交通,,,,
,ゆめ,夢,2,名,梦、梦想,,,,
,キングばくし,キング牧師,-1,,马丁·路德·金(1929-1968),,,,
,ちきゅう,地球,0,名,地球,,,,
動きます,うごく,動く,2,動Ⅰ,转动、动,,自,,
,ガリレオ,,-1,,伽利略(1564-1642),Galileo Galilei,,,
,てんさい,天才,0,名,天才,,,,
,アインシュタイン,,-1,,爱因斯坦(1879-1955),Albert Einstein,,,
,フランクリン,,-1,,本杰明·弗兰克林(1706-1790),Benjamin Franklin,,,
,ガガーリン,-,1,,加加林(1934-1968),G·G·Gagarin,,,
,はなし,話,3,名,话、谈话(~をします:说话),,,,
,そんなに,,-1,,没那么(后接否定式),,,,
,すごい,凄い,2,イ形,厉害(在表示惊讶和感叹时使用),,,,
,ほんとうに,本当に,0,副,真的,,,,
気をつけます,きをつける,気をつける,-1,動Ⅱ,小心、注意,,他,,
,ふベん,不便,1,ナ形,不方便,,,,
,ほうそう,放送,0,名,广播,,,,
,ゆうえんち,遊園地,3,名,游乐园,,,,
,てんじんまつり,天神祭り,-1,名,天神祭(大阪的庙会),,,,
,よしのやま,吉野山,-1,名,吉野山(位于奈良的山),,,,
,カンガルー,,3,名,袋鼠,kangaroo,,,
,キャプテン・クック,,-1,,库克船长(1728-1779),CaptainCook,,,
