,いま,今,1,名,现在,,,,
,一じ,一時,-1,助数,一点,,,,
,一ふん,一分,-1,助数,一分,,,,
,まいあさ,每朝,1|0,名,每天早晨,,,,
起きます,おきる,起きる,2,動Ⅱ,起床,,自,,
,きのう,昨日,2,名,昨天,,,,
勉強します,べんきょうする,勉強する,0,動Ⅲ,学习,,自他,,
,なんじ,何時,1,名,几点,,,,
,なんぷん,何分,1,名,几分,,,,
,ニューヨーク,,3,名,纽约,New York,,,
,ごぜん,午前,1,名,上午,,,,
,やすみ,休み,3,名,休息、休假,,,,
,なんようび,何曜日,3,名,星期几,,,,
,どようび,土曜日,2,名,星期六,,,,
,~と~,,-1,助,~和~,,,,
,にちようび,日曜日,3,名,星期天,,,,
,アップルギんこう,,-1,名,苹果银行(虚构的银行),apple银行,,,
,~から,,1,助,从~,,,,
,~まで,,1,助,到~,,,,
,まいばん,每晚,1|0,名,每天晚上,,,,
寝ます,ねる,寝る,0,動Ⅱ,睡觉,,自,,
,まいにち,每日,1,名,每天,,,,
,あさ,朝,1,名,早晨,,,,
,ごご,午後,1,名,下午,,,,
働きます,はたらく,働く,0,動Ⅰ,工作、劳动,,自,,
,そちら,,0,名,那边、你那边,,,,
,あすか,,-1,名,明日香(虚构的日本餐馆),,,,
,ばんごう,番号,3,名,号码,,,,
,なんばん,何番,1,名,几号,,,,
,はん,半,1,接尾,半,九時半(くじはん)9点半,,,
,すいようび,水曜日,3,名,星期三,,,,
,ひるやすみ,昼休み,3,名,午休,,,,
,げつようび,月曜日,3,名,星期一,,,,
,きんようび,金曜日,3,名,星期五,,,,
,あした,明日,3,名,明天,,,,
,おととい,一昨日,3,名,前天,,,,
,とうきょう,東京,0,名,东京,,,,
,ペキン,北京,1,名,北京,,,,
,ロンドン,,1,名,伦敦,London,,,
,ロサンゼルス,,4,名,洛杉矶,Los Angeles,,,
,きょう,今日,1,名,今天,,,,
,かようび,火曜日,2,名,星期二,,,,
,かいぎ,会議,1,名,会议(~をします:开会),,,,
,しけん,試験,2,名,考试,,,,
,ぎんこう,银行,0,名,银行,,,,
,ゆうびんきょく,郵便局,3,名,邮局,,,,
,デパート,,2,名,百货商店,department,,,
,としょかん,図書館,2,名,图书馆,,,,
,こんばん,今晚,1,名,今晚、今天晚上,,,,
,ひる,昼,2,名,白天,,,,
休みます,やすむ,休む,2,動Ⅰ,休息,,自,,
,ばん,晚,0,名,晚上(=「夜(よる)」),,,,
,あさって,明後日,2,名,后天,,,,
,けさ,今朝,1,名,今天早上,,,,
,やまとびじゅつかん,大和美術館,-1,名,大和美术馆(虚构的美术馆),,,,
,みどりとしょかん,緑図書館,-1,名,绿色图书馆(虚构的图书馆),,,,
,もくようび,木曜日,3,名,星期四,,,,
終わります,おわる,終わる,0,動Ⅰ,结束,,自,,
,えいが,映画,1,名,电影,,,,
,たいへんですね,大変ですね,-1,,够辛苦的啊。够累人的啊。,,,,
