運動します,うんどうする,運動する,0,動Ⅲ,运动,,自,,
,ヨーロッパ,,3,名,欧洲,Europe,,,
,じゅうぶん,十分,3,ナ形,充分,,,,
,せんせい,先生,3,名,大夫、医生,,,,
,インフルエンザ,,5,名,流感,influenza,,,
続きます,つづく,続く,0,動Ⅰ,持续,熱が続きます(ねつがつづきます):持续发烧。,自,,
,エンジン,,1,名,发动机、马达,engine,,,
,おかしい,可笑しい,3,イ形,奇怪、可疑,,,,
,げんき,元気,1,名,精神、健康,,,,
,い,胃,1,名,胃,,,,
,それはいけませんね,,-1,,那可不太好。,,,,
,ストレス,,2,名,(精神上的)紧张、疲劳,stress,,,
無理をします,むりをする,無理をする,-1,動Ⅲ,勉强,,自,,
,こんや,今夜,1,名,今天晚上、今夜,,,,
,ほし,星,0,名,星星,,,,
,おそく,遲く,0,副,晚(指时间晚),,,,
,せき,咳,2,名,咳嗽(~をします/~がでます:咳嗽),,,,
,やけど,火傷,0,名,烫伤、烧伤(~をしま寸:烧伤、烫伤),,,,
冷やします,ひややす,冷やす,2,動Ⅰ,使~凉下来,,他,,
,けが,怪我,2,名,伤、受伤(~をします:受伤),,,,
引きます,ひく,引く,0,動Ⅰ,患、得(感冒),風邪を引きます(かぜをひきます):得感冒。,他,,
,ゆうがた,夕方,0,名,黄昏、傍晚,,,,
止みます,やむ,止む,0,動Ⅰ,停了,雨が止みます(あめがやみます):雨停了。,自,,
,たいよう,太陽,1,名,太阳,,,,
晴れます,はれる,晴れる,2,動Ⅱ,晴,,自,,
曇ります,くもる,曇る,2,動Ⅰ,阴,,自,,
,かぜ,風,0,名,风,,,,
空きます,すく,空く,0,動Ⅰ,空、通畅,道が空きます(みちがすきます):道路通畅。,自,,
,にし,西,0,名,西,,,,
,そら,空,1,名,天空,,,,
出ます,でる,出る,1,動Ⅱ,参加,試合に出ます(しあいにでます):参加比赛。;パーティーに出ます(パーティーにでます):参加宴会。,自,に,
,みなみ,南,0,名,南,,,,
,きた,北,0|2,名,北,,,,
,うるさい,煩い,3,イ形,吵闹、烦人,,,,
込みます,こむ,込む,1,動Ⅰ,拥挤,道が込みます(みちがこみます):道路拥挤。,自,,
,すいどう,水道,0,名,自来水、自来水管,,,,
合格します,ごうかくする,合格する,0,動Ⅲ,合格、及格,試験に合格します(しけんにごうかくします):考试合格。,自,に,
,チーム,,1,名,队、团队,team,,,
,あんなに,,0,副,那么(指与说话人、听话人都无关的事，形容程度之甚),,,,
,そんなに,,0,副,那么(指与听话人有关的事，形容程度之甚),,,,
,こくさい~,国際~,-1,,国际~,,,,
成功します,せいこうする,成功する,0,動Ⅲ,成功,,自,,
失敗します,しっぱいする,失敗する,0,動Ⅲ,失败,試験に失敗します(しけんにしっぱいします):考试失败。,自,に,
,まえ,前,1,名,以前、之前,ずいぶん前から(ずいぶんまえから):从很早以前,,,
,こんなに,,0,副,这么(形容程度之甚),,,,
,ほしうらない,星占い,3,名,占星术、星相,,,,
,おうしざ,牡牛座,0,名,金牛座,,,,
,はたらきすぎ,働きすぎ,0,名,超量工作,,,,
困ります,こまる,困る,2,動Ⅰ,为难、困惑,,自,,
,たからくじ,宝くじ,3|4,名,彩票,,,,
当たります,あたる,当たる,0,動Ⅰ,中(彩票),宝くじが当たります(たからくじがあたります):中彩票。,自,,
,けんこう,健康,0,名,健康,,,,
,ひがし,東,0|3,名,东,,,,
,れんあい,恋愛,0,名,恋爱,,,,
,こいびと,恋人,0,名,恋人,,,,
,ラッキーアイテム,,5,名,吉祥物,lucky item,,,
,いし,石,2,名,石头,,,,
,うらない,占い,0|3,名,占卜,,,,
