,でんしじしょ,電子辞書,4,名,电子辞典,,,,
,力夕口グ,,0,名,目录,catalog,,,
,すみません,,-1,,对不起。,,,,
知ります,しる,知る,0,動Ⅰ,知道,,他,,
住みます,すむ,住む,1,動Ⅰ,住、居住,北京に住んでいます(ぺきんにすんでいます):住在北京。,自,に,
,どくしん,独身,0,名,单身,,,,
,せんもん,専門,0,名,专业,,,,
,こうこう,高校,0,名,高中,,,,
思い出します,おもいだす,思い出す,4|0,動Ⅰ,想起,,他,,
いらっしゃいます,いらっしゃる,,4,動Ⅰ,有、在(「います」的敬语),,自,,
置きます,おく,置く,0,動Ⅰ,放,,他,,
,しりょう,資料,0,名,资料,,,,
,せいひん,製品,1,名,产品,,,,
,でんきせいひん,电気製品,-1,,电器产品,,,,
売ります,うる,売る,0,動Ⅰ,卖,,他,,
,にほんばし,日本橋,-1,名,日本桥(大阪的商业地区),,,,
作ります,つくる,作る,2,動Ⅰ,做、制造,,他,,
造ります,つくる,造る,2,動Ⅰ,做、制造,,他,,
,ソフト,,1,名,软件,soft,,,
,コンピューター・ソフト,,-1,名,计算机软件,,,,
研究します,けんきゅうする,研究する,0,動Ⅲ,研究,,他,,
,けいざい,経済,1,名,经济,,,,
,じこくひょう,時刻表,0,名,时刻表,,,,
,はいしゃ,齒医者,1,名,牙医,,,,
,しやくしょ,市役所,2,名,市政府,,,,
,みなさん,皆さん,2,名,大家,,,,
,みんなのインタビュー,,-1,名,大家的采访(虚构的电视节目),,,,
,ふく,服,2,名,衣服,,,,
