閉まります,しまる,閉まる,2,動Ⅰ,关着,ドアが閉まります(ドアがしまります):门关着。,自,,
掛かります,かかる,掛かる,2,動Ⅰ,上着(锁),かきがかかります:上着锁。,自,,
,おさきにどぞ,お先にどうぞ,-1,,请先走吧。,,,,
間違えます,まちがえる,間違える,3|4,動Ⅱ,弄错,,他,,
,わすれもの,忘れ物,0,名,遗失物品,,,,
,いま,今,1,名,刚才(指离现在很近的时间),今の電車(いまのでんしゃ):刚发车的那趟电车,,,
,このくらい,,-1,連語,这样大小的,,,,
,~がわ,~側,-1,造語,~侧,,,,
,そとがわ,外側,0,名,外侧,,,,
,ポケット,,2|1,名,口袋,pocket,,,
付きます,つく,付く,1|2,動Ⅰ,带有,ポケットが付きます:带有口袋。,自,,
,~へん,~辺,0,名,~边,どの辺:哪边,,,
,おぼえていません,覚えていません,-1,,不记得了。,,,,
,あみだな,網棚,0,名,(车上用网做成的)行李架,,,,
,たしか,確か,1,副,似乎是、大概是,,,,
,[ああ、]よかった,,-1,,[啊，]太好了。(表示安心时使用),,,,
,しんじゅく,新宿,0,名,新宿(东京的地名、车站名),,,,
開きます,あく,開く,0,動Ⅰ,开着,ドアが開きます(ドアがあきます):门开着。,自,,
止まります,とまる,止まる,0,動Ⅰ,停了、停着,車が止まります(くるまがとまります):车停着。,自,,
,ガラス,,0,名,玻璃,glass,,,
割れます,われる,割れる,0,動Ⅱ,碎了,コップが割れます(コップがわれます):杯子碎了。,自,,
,ふくろ,袋,3,名,袋子,,,,
破れます,やぶれる,破れる,3,動Ⅱ,破了,紙がやぶれます(かみがやぶれます):纸破了。,自,,
折れます,おれる,折れる,2,動Ⅱ,折断,木が折れます(きがおれます):树折断了。,自,,
,げんじものがたり,源氏物語,-1,名,《源氏物语》(平安时代紫式部写的小说),,,,
落とします,おとす,落とす,2,動Ⅰ,落下、弄丢,,他,,
壊れます,こわれる,壊れる,3,動Ⅱ,坏了,いすが壊れます(いすがこわれます):椅子坏了。,自,,
,[お]さら,お皿,0,名,盘子、碟子,,,,
,[お]ちゅわん,,-1,名,饭碗、茶碗,,,,
,えだ,枝,0,名,树枝,,,,
つきます,つく,,1|2,動Ⅰ,开着灯开着。,電気がつきます(でんきがつきます。):灯开着。,自,,
汚れます,よごれる,汚れる,0,動Ⅱ,脏了,服が污れます(ふくがよごれます):衣服脏了。,自,,
拭きます,ふく,拭く,0,動Ⅰ,擦,,他,,
取り替えます,とりかえます,取り替える,0,動Ⅱ,更换,,他,,
,コップ,,0,名,杯子,荷kop,,,
,スピーチ,,2,名,演讲(~をします:进行演讲),speech,,,
片付けます,かたづける,片付ける,4,動Ⅱ,收拾,,他,,
,へんじ,返事,3,名,回信(~をします:回话),,,,
外れます,はずれる,外れる,0,動Ⅱ,掉了,ボタンが外れます(ボタンがはずれます):纽扣掉了。,自,,
,こうばん,交番,0,名,派出所,,,,
,しょるい,書類,0,名,文件、材料,,,,
,えきいん,駅員,2|0,名,站务员,,,,
消えます,きえる,消える,0,動Ⅱ,关着,電気が消えます(でんきがきえます):灯关着。,自,,
,じしん,地震,0,名,地震,,,,
,かベ,壁,0,名,墙壁,,,,
,はり,針,1,名,(钟表的)走针,,,,
指します,さす,指す,1,動Ⅰ,指在~,,他,,
,えきまえ,駅前,3|0,名,车站前,,,,
倒れます,たおれる,倒れる,3,動Ⅱ,倒、倒下来、倒塌,,自,,
,にし,西,0,名,西,,,,
,~のほう,~の方,-1,,~面、~方,,,,
燃えます,もえる,燃える,0,動Ⅱ,燃烧,,自,,
,レボーター,,2,名,采访记者,,,,
