,ななつ,,2,名,7、7个,7つ,,,
,一ねん,一年,-1,助数,一年,,,,
います,いる,,0,動Ⅱ,在、有,,自,,
,にほんにいます,日本にいます,-1,,在日本。,,,,
,こどもがいます,子どもがいます,-1,,有孩子。,,,,
,りんご,林檎,0,名,苹果,,,,
,いくつ,幾つ,1,名,多少,,,,
,よっつ,,3,名,4、4个,4つ,,,
,きって,切手,0|3,名,邮票,,,,
,一まい,一枚,-1,助数,一枚、ー张(数纸张、邮票等的量词),,,,
,はがき,葉書,0,名,明信片,,,,
,ぜんぶで,全部で,-1,名,一共、合计,,,,
,がいこく,外国,0,名,外国,,,,
,一にん,一人,-1,助数,一个(口)人,,,,
,なんにん,何人,-1,名,几个人,,,,
,みんな,,0,副,全部、大家,,,,
,きょうだい,兄弟,1,名,兄弟姐妹,,,,
,よにん,,2,名,4个人,4人,,,
,あね,姉,0,名,(自己的)姐姐,,,,
,おねえさん,お姉さん,2,名,(别人的)姐姐,,,,
,ふたり,,3,名,两个人,2人,,,
,あに,兄,1,名,(自己的)哥哥,,,,
,おにいさん,お兄さん,2,名,(别人的)哥哥,,,,
,ひとり,,2,名,一个人,1人,,,
,一しゅうかん,一週間,-1,助数,一周,,,,
,一かい,一回,-1,助数,一次,,,,
,~ぐらい,,-1,助,~左右、大约~,,,,
,どのくらい,,0|1,連語,多长时间,,,,
,一かけつ,一か月,-1,助数,一个月,,,,
,~だけ,,-1,助,只~,,,,
かかります,かかる,,2,動Ⅰ,花费(时间、金钱等),,自,,
,おねがいします,お願いします,-1,,拜托了。恳请您。,,,,
,いい[お]てんきですね,いい[お]天気ですね,-1,,天气真好啊。,,,,
,おでかけですか,お出かけですか,-1,,出门啊?(碰到附近的人打招呼时使用),,,,
,ちょっと~まで,,-1,,到~去一下。(对上句的回答),,,,
,いってらっしゃい,行ってらっしゃい,-1,,走好。(送人出门时使用),,,,
,いってきます,行ってきます,-1,,我走了。(自己出门时使用),,,,
,オ一ストラリア,,5,名,澳大利亚,Australia,,,
,ふなびん,船便,0|2,名,平邮、海运,,,,
,こうくうびん,航空便,0|3,名,航邮、航运(=「エアメール」),,,,
,みかん,,1,名,橘子,,,,
,いつつ,,2,名,5、5个,5つ,,,
,やっつ,,3,名,8、8个,8つ,,,
,とお,,1,名,10、10个,10,,,
,クラス,,1,名,班级,class,,,
,りゅうがくせい,留学生,3|4,名,留学生,,,,
,一じかん,一時間,-1,助数,一小时,,,,
,みっつ,,3,名,3、3个,Зつ,,,
,ひとつ,,2,名,1、1个(数东西时使用),1つ,,,
,ふたつ,,3,名,2、2个,2つ,,,
,むっつ,,3,名,6、6个,6つ,,,
,一だい,一台,-1,助数,一台(数机械、车辆等的量词),,,,
,ふうとう,封筒,0,名,信封,,,,
,ここのつ,,2,名,9、9个,9つ,自,,
休みます,やすむ,休む,2,動Ⅰ,请假,会社を休みます(かいしゃをやすみます):跟公司请假。,自,,
,サンドイッチ,,4,名,三明治,sandwich,,,
,かしこまりました,,-1,,明白了。(服务行业的人对顾客使用的礼貌用语),,,,
,カレー[ライス],,4,名,咖喱[饭],curry rice,,,
,アイスクリーム,,5,名,冰激凌,ice cream,,,
,おとうと,弟,4,名,(自己的)弟弟,,,,
,おとうとさん,弟さん,-1,名,(别人的)弟弟,,,,
,いもうと,妹,4,名,(自己的)妹妹,,,,
,いもうとさん,妹さん,-1,名,(别人的)妹妹,,,,
,かごしま,鹿児島,0,名,鹿儿岛,,,,
,りょうしん,両親,1,名,父母,,,,
