待ちます,まつ,待つ,1,動Ⅰ,等,,他,,
持ちます,もつ,持つ,1,動Ⅰ,拿,,他,,
,なまえ,名前,0,名,姓名、名字,,,,
,よみかた,読み方,3|4,名,读法、念法,,,,
,~かた,~方,-1,造語,~法,,,,
教えます,おしえる,教える,0,動Ⅱ,告诉,住所を教えます(じゅうしょをおしえます):告诉地址。,他,,
,じゅうしょ,住所,1,名,地址,,,,
開けます,あける,開ける,0,動Ⅱ,开(门、窗等),窓を開けます(まどをあけます):开窗户。,他,,
話します,はなします,話す,2,動Ⅰ,说话,,他,,
,また,又,0,副,再,,,,
,あとで,,1,副,回头、一会儿,,,,
降ります,ふる,降る,1,動Ⅰ,下(雨、雪),雨が降ります(あめがふります):下雨。,自,,
,みどりちょう,みどり町,-1,名,绿町(虚构的城市),,,,
,しんごうをみぎへまがってください,信号を右へ曲がってください,-1,,到红绿灯处往右拐。,,,,
,まっすぐ,,3,副,一直,,,,
止めます,とめる,止める,0,動Ⅱ,停、止,,他,,
,これでおねがいします,これでお願いします,-1,,给您(钱)。,,,,
,おつり,お釣り,0,名,(找)零钱,,,,
,もんだい,問题,0,名,练习题、问题,,,,
,こたえ,答え,2|3,名,回答,,,,
急きます,いそぐ,急ぐ,2,動Ⅰ,急、急忙,,自,,
,しお,塩,2,名,盐,,,,
取ります,とる,取る,1,動Ⅰ,取,,他,,
,ゆっくり,,3,副,慢慢地、充分、安稳,,,,
手伝います,てつだう,手伝う,3,動Ⅰ,帮忙,,他,,
閉めます,しめる,閉める,2,動Ⅱ,关(门、窗等),ドアを閉めます(ドアをしめます):关门。,他,,
,パスポート,,3,名,护照,passport,,,
見せます,みせる,見せる,2,動Ⅱ,显示、给~看,,他,,
コピーします,コピーする,,1,動Ⅲ,复印,copyする,他,,
,エアコン,,0,名,空调(「エア・コンディショナ一」的略称),,,,
つけます,つける,,2,動Ⅱ,开(空调、电灯等),エアコンをつけます:开空调。,他,,
,もうすこし,もう少し,0,副,再~一点儿、还一点儿,,,,
,もう~,,-1,,再~、还~,,,,
入ります,はいる,入る,1,動Ⅰ,进,喫茶店に入ります(きっさてんにはいります):进咖啡馆。,自,に,
出ます,でる,出る,1,動Ⅱ,出,喫茶店を出ます(きっさてんをでます):出咖啡馆。,自,,
座ります,すわる,座る,0,動Ⅰ,坐,,自,,
立ちます,たつ,立つ,1,動Ⅰ,站,,自,,
使います,つかう,使う,0,動Ⅰ,使用,,他,,
消します,けす,消す,0,動Ⅰ,关(空调、电灯等),,他,,
,でんき,電気,1,名,电灯、电气,,,,
,ちず,地図,1,名,地图,,,,
,すぐ,,1,副,马上,,,,
呼びます,よぶ,呼ぶ,0,動Ⅰ,叫,,他,,
,さとう,砂糖,2,名,,,,,
,さあ,,1,感,喂(提议、催促做某事时使用),,,,
,あれ?,,-1,,哎呀!咦?(感到吃惊、不可思议时发出的声音),,,,
