,ここ,,0,名,这里(离说话人近的场所),,,,
,しょくどう,食堂,0,名,食堂,,,,
,エレベーター,,3,名,电梯,elevator,,,
,あそこ,,0,名,那里(离说话人、听话人都远的场所),,,,
,しんおおさか,新大阪,3,名,新大阪(大阪的车站名),,,,
,トイレ,,1,名,厕所,toilet,,,
,おてあらい,お手洗い,3,名,洗手间,,,,
,どこ,,1,名,哪里,,,,
,かいぎしつ,会議室,3,名,会议室,,,,
,じむしょ,事務所,2,名,办事处、事务所,,,,
,どちら,,1,名,哪边(「どこ」的礼貌用语),,,,
,あちら,,0,名,那边(「あそこ」的礼貌用语),,,,
,[お]くに,お国,0,名,国家、故乡,,,,
,くつ,靴,2,名,鞋,,,,
,イタリア,,0,名,意大利,Italia,,,
,いくら,,1,名,多少钱,,,,
,まん,万,1,名,万,,,,
,せん,千,1,名,千,,,,
,ひゃく,百,2,名,百,,,,
,一えん,一円,-1,助数,一日元,,,,
,[~を]ください,,-1,,请给我[~]。,これをください:请给我这个。,,,
,すみません,,-1,,对不起。,,,,
,どうも,,1,,谢谢。,,,,
,フイン,,1,名,葡萄酒,,,,
,うりば,壳り場,0,名,销售柜台,,,,
,ちか,地下,1|2,名,地下,,,,
,一かい,一階,-1,助数,一层,,,,
,なんがい,何階,-1,名,几层,,,,
,[~]をみせてください,[~]を見せて下さい,-1,,请让我看一下[~]。,,,,
,じゃ,,1,接,那么,,,,
,きょうしつ,教室,0,名,教室,,,,
,ひろしま,広島,0,名,广岛,,,,
,うけつけ,受付,0,名,接待处,,,,
,そこ,,-1,名,那里(离听话人近的场所),,,,
,じどうはんばいき,自動販売機,6,名,自动贩卖机,,,,
,ロピー,,1,名,大厅、休息室,lobby,,,
,こちら,,0,名,这边(「ここ」的礼貌用语),,,,
,そちら,,0,名,那边(「そこ」的礼貌用语),,,,
,フランス,,0,名,法国,France,,,
,ネクタイ,,1,名,领带,necktie,,,
,かいだん,階段,0,名,楼梯,,,,
,エスカレーター,,4,名,自动扶梯,escalator,,,
,でんわ,電話,0,名,电话,,,,
,へや,部屋,2,名,房间,,,,
,うち,家,0,名,家,,,,
,おおさか,大阪,0,名,大阪,,,,
,かいしゃ,会社,0,名,公司,,,,
,バンコク,,1,名,曼谷,Bangkok,,,
,ベルリン,,0,名,柏林,Berlin,,,
,ジャカルタ,,2,名,雅加达,Jakarta,,,
,スイス,,1,名,瑞士,Swiss,,,
