びっくりします,びっくりする,,3,動Ⅲ,吃惊,,自,,
,じしん,地震,0,名,地震,,,,
倒れます,たおれる,倒れる,3,動Ⅱ,倒、倒下来、倒塌,ビルが倒れます(ビルがたおれます):大厦倒塌。,自,,
,[お]みあい,お見合い,0,名,相亲,,,,
がっかりします,がっかりする,,3,動Ⅲ,失望,,自,,
,ハイキング,,1,名,远足、徒步旅行,hiking,,,
,ふくざつ,複雑,0,ナ形,复杂,,,,
,じこ,事故,1,名,事故,,,,
,おつかれさまでした,お疲れ様でした,-1,,辛苦了。(慰劳同事或部下时用的话),,,,
,じゃま,邪魔,0,ナ形,碍事,,,,
,とちゅう,途中,0,名,中途、途中,途中で(とちゅうで):途中、路上、中途,,,
,トラック,,2,名,卡车,truck,,,
ぶつかります,ぶつかる,,0|4,動Ⅰ,撞、碰,,自,,
安心します,あんしんする,安心する,0,動Ⅲ,安心、放心,,自,,
,おおぜい,大勢,0,副,很多(人),,,,
死にます,しぬ,死ぬ,0,動Ⅰ,死,,自,,
,つなみ,津波,0,名,海啸,,,,
,うれしい,嬉しい,3,イ形,高兴,,,,
,かなしい,悲しい,0,イ形,悲伤,,,,
,はずかしい,恥ずかしい,4,イ形,害羞、不好意思,,,,
,かたい,硬い,0,イ形,硬、坚硬,,,,
,やわらかい,軟らかい,4,イ形,软、柔软,,,,
答えます,こたえる,答える,3|2,動Ⅱ,答、回答,質問に答えます(しつもんにこたえます):回答问题。,自,に,
通ります,とおる,通る,1,動Ⅰ,通过、过,道を通ります(みちをとおります):过路,自,,
,かじ,火事,1,名,火灾,,,,
,~や,~屋,-1,接辞,开~店的,,,,
太ります,ふとる,太る,2,動Ⅰ,胖、发胖,,自,,
やせます,やせる,,0,動Ⅱ,瘦、变瘦,,自,,
喧嘩します,けんかする,喧嘩する,0,動Ⅲ,吵架、打架,,自,,
,~だい,~代,-1,接辞,~费,電気代(でんきだい):电费,,,
,きたない,汚い,3,イ形,脏、肮脏,,,,
,そうさ,操作,1,名,操作(~します:操作),,,,
,たいふう,台風,3,名,台风,,,,
,かみなり,雷,3|4,名,雷,,,,
,かいじょう,会場,0,名,会场,,,,
,しゅしょう,首相,0,名,首相,,,,
離婚します,りこんする,離婚する,0,動Ⅲ,离婚,,自,,
,フロント,,-1,名,(酒店等的)前台,front,,,
,一ごうしつ,一号室,-1,接辞,一号房间,,,,
伺います,うかがう,伺う,3,動Ⅰ,去拜访(「いきます」的谦逊语),,他,,
,夕才儿,,1,名,毛巾,towel,,,
,せっけん,石鹸,0,名,肥皂,,,,
,おとな,大人,0,名,大人、成年人,,,,
,しかし,,2,接,但是,,,,
,また,又,0,接,还、更,,,,
,ようふく,洋服,0,名,西式服装,,,,
西洋化します,せいようかする,西洋化する,0,動Ⅲ,西化,,自,,
合います,あう,合う,1,動Ⅰ,适合、合适,,自,,
,いまでは,今では,-1,連語,现在,,,,
,せいじんしき,成人式,3,名,成人仪式,,,,
,でんとうてき,伝統的,0,ナ形,传统的,,,,
