,ぼく,僕,1,名,我(男子用语，比「わたし」随意),,,,
,きみ,君,0,名,你(用于同辈、部下、晚辈，比「あなた」随意),,,,
,うん,,1,感,嗯(比「はい」随意),,,,
,ううん,,0,感,不(比「いいえ」随意),,,,
,みんなで,,0,連語,大家一起,,,,
,おなかがいっぱいです,,-1,,肚子饱了。,,,,
,~けど,,-1,接,~，但是(比「が」随意),,,,
,~くん,~君,-1,接尾,~君(用于同辈部下、晚辈，有时在叫男孩名字时使用，比「老人」随意),,,,
,よかったら,,-1,連語,如果(你觉得)可以的话~,,,,
,はじめ,初め,0,名,开始,,,,
,はじめごろ,初め頃,4,名,开始的时候,,,,
,いろいろ,色々,0,副,各种各样,,,,
調べます,しらべる,調べる,3,動Ⅱ,查、调查,,他,,
,きもの,着物,0,名,和服(日本的传统服装),,,,
,そっち,,3,名,那边(指离听话人近的场所，比「そちら」随意),,,,
,こっち,,3,名,这边(比「こちら」随意),,,,
,あっち,,3,名,那边(指离说话人、听话人都远的场所，比「あちら」随意),,,,
,ビザ,,1,名,签证,visa,,,
要ります,いる,要る,0,動Ⅰ,要,ビザが要ります(ビザがいります):要签证。,自,,
,おわり,終わり,0,名,结束,,,,
,おわりごろ,終わり頃,4,名,结束的时候,,,,
,どっち,,1,名,哪一个(用于从两个中间选择一个时)、哪边(比「どちら」随意),,,,
修理します,しゅうりする,修理する,1,動Ⅲ,修理,,他,,
,ことば,言葉,3,名,词汇、单词,,,,
