,わたし,私,0,名,我,,,,
,~さん,,-1,接尾,先生、女士、同志(称呼人时，为了表示礼貌接在名字后面的接尾词),,,,
,がくせい,学生,0,名,学生,,,,
,かいしゃいん,会社員,3,名,公司职员,,,,
,あなた,貴方,2,名,你、您,,,,
,はい,,1,感,是、对,,,,
,いいえ,,3,感,不、不是,,,,
,ぎんこういん,銀行員,3,名,银行职员,,,,
,いしゃ,医者,0,名,医生,,,,
,あのかた,あの方,4,名,他她、那个人(「あのかた」是「あのひと」的礼貌说法),,,,
,どなた,,1,名,哪位(「どなた」是「だれ」的礼貌说法),,,,
,だいがく,大学,0,名,大学,,,,
,さくらだいがく,桜大学,-1,名,樱花大学(虚构的大学),,,,
,せんせい,先生,3,名,老师(在指自己的职业时不用),,,,
,~ちやん,,-1,接尾,代替「~ん」接在小孩子名字后面的接尾词,,,,
,なんさい,何歳,1,名,几岁,,,,
,きゅう,,1,数,9,9,,,
,一さい,一歲,-1,助数,一岁,,,,
,はじめまして,初めまして,-1,,初次见面。(自我介绍时，最初讲的话),,,,
,おはようございます,,-1,,早上好!,,,,
,こちらは~さんです,,-1,,这位是~。,,,,
,アメリカ,,-1,名,美国,America,,,
,~からきました,~から来ました,-1,,是从~来的。,アメリカから来ました(アメリカからきました):来自美国。,,,
,[どうぞ]よろしく[おねがいします],[どうぞ]よろしく[お願いします],-1,,请多关照。(自我介绍时，最后讲的话),,,,
,ちゅうごく,中国,1,名,中国,,,,
,~じん,~人,-1,接尾,~人(表示国籍的接尾词，例如:アメリカじん(美国人);ちゅうごくじん(中国人):中国人,,,,
,きょうし,教師,1,名,教师,,,,
,あのひと,あの人,4,名,他、她、那个人,,,,
,だれ,誰,1,名,谁,,,,
,アイ・エム・シー,,-1,名,IMC公司(虚构的公司),IMC,,,
,しゃいん,社員,1,名,公司的职员(和公司名一起使用，例如:IMCのしゃいん),,,,
,ふじだいがく,富士大学,-1,名,富士大学(虚构的大学),,,,
,ブラジル,,-1,名,巴西,Brazil,,,
,はっさい,8歳,1,名,8岁,,,,
,おいくつ,,0,名,多大岁数(「おいくつ」是「なんさい」的礼貌说法),,,,
,にほん,日本,2|3,名,日本,,,,
,イギリス,,0,名,英国,葡Inglez,,,
,夕イ,,1,名,泰国,Thai,,,
,ドイツ,,1,名,德国,荷Duits,,,
,エー・ケー・シー,,-1,名,亚洲研究中心(虚构的机关),AKC,,,
,けんきゅうしゃ,研究者,3,名,研究人员,,,,
,こうベ,神戸,1,名,神户,,,,
,びょういん,病院,0,名,医院,,,,
,こうべひょういん,神戸病院,-1,名,神户医院(虚构的医院),,,,
,ブラジルエアー,,-1,名,巴西航空(虚构的公司),Brazil Air,,,
,インド,,1,名,印度,India,,,
,かんこく,韓国,1,名,韩国,,,,
,インドネシア,,4,名,印度尼西亚,Indonesia,,,
,しつれいですが,失礼ですが,-1,,对不起、请问,,,,
,おなまえは,お名前は,-1,,您贵姓?您叫什么名字?,,,,
,パワーでんき,,-1,名,动力电气公司(虚构的公司),power電気,,,
