参加します,さんかする,参加する,0,動Ⅲ,参加,旅行に参加します(りょこうにさんかします):参加旅行。,自,に,
育てます,そだてる,育てる,3,動Ⅱ,培育、养,,他,,
運ひます,はこぶ,運ぶ,0,動Ⅰ,搬、搬运,,他,,
,[あ、]いけない,,-1,,[啊，]糟了。(在做错了什么或失败时使用),,,,
,あかちゃん,赤ちゃん,1,名,婴儿,,,,
,しょうがっこう,小学校,3,名,小学,,,,
,ちゅうがっこう,中学校,3,名,初中,,,,
,かいらん,回覧,0,名,传阅(文件等),,,,
,けんきゅうしつ,研究室,3,名,研究室,,,,
,きちんと,,2,副,整齐、干净,,,,
整理します,せいりする,整理する,1,動Ⅲ,整理、收拾,,他,,
,~という,,-1,連語,叫~、名为~,,,,
,一さつ,一册,-1,助数,一本、一册,,,,
,ほうほう,方法,0,名,方法,,,,
,はんこ,判子,3,名,章、印章,,,,
押します,おす,押す,0,動Ⅰ,盖,判子を押します(はんこをおします):盖章。,他,,
,きもちがいい,気持ちがいい,-1,,舒服,,,,
,きもちがわるい,気持ちが悪い,-1,,不舒服,,,,
退院します,たいいんする,退院する,0,動Ⅲ,出院,,自,,
,おおきな~,大きな~,1,連体,大的,,,,
,ちいさな~,小さな~,1,連体,小的,,,,
,えきまえ,駅前,3|4,名,车站前,,,,
,むら,村,2,名,村、村庄,,,,
,~せい,~製,-1,接辞,~制造,,,,
,けんこう,健康,0,名,健康,,,,
,しゅうかん,習慣,0,名,习惯,,,,
,かいがん,海岸,0,名,海岸,,,,
つきます,つく,,1|2,動Ⅰ,说(谎),うそをつきます:说谎。,他,,
入院します,にゅういんする,入院する,0,動Ⅲ,住院,,自,,
,かな,仮名,0,名,假名(日文字母),,,,
,ゆびわ,指輪,0,名,戒指,,,,
,いずもたいしゃ,出雲大社,-1,名,出云大社(位于岛根县出云市的神社),,,,
,チェンマイ,,-1,名,清迈(泰国),Chiang Mai,,,
,おととし,一昨年,2,名,前年,,,,
掛けます,かける,掛ける,2,動Ⅱ,上锁,鍵を掛けます(かぎをかけます):上锁。,他,,
,おさきに[しつれいします],お先に[失礼します],-1,,我先告辞了,,,,
,でんげん,電源,0|3,名,电源,,,,
切ります,きる,切る,1,動Ⅰ,切断,電源を切ります(でんげんをきります):切断电源。,他,,
入れます,いれる,入れる,0,動Ⅱ,打开,電源を入れます(でんげんをいれます):打开电源,他,,
,ザんばくドーム,,5,名,一ー广岛原子弹爆炸纪念馆(为纪念广岛被投掷原子弹而设置的纪念馆),原爆doom,,,
,こうじょう,エ場,3,名,工厂,,,,
,ふたご,双子,0,名,双胞胎,,,,
,しまい,姉妹,1,名,姐妹,,,,
,ごねんせい,5年生,-1,,五年级学生,,,,
似ます,にる,似る,0,動Ⅱ,相似、相像,,自,,
,せいかく,性格,0,名,性格,,,,
,おとなしい,大人しい,4,イ形,老实、温顺,,,,
,やさしい,優しい,0,イ形,温柔、亲切,,,,
世話をします,せわをする,世話をする,-1,動Ⅲ,照顾、照料,,他,,
時間がたちます,じかんがたちます,時間がたつ,-1,動Ⅰ,时间流逝,,自,,
,だいすき,大好き,1,ナ形,非常喜欢,,,,
,一てん,一点,-1,接辞,一分(指考试的分数),,,,
,きがつよい,気が強い,-1,,好强、刚强,,,,
喧嘩します,けんがする,喧嘩する,0,動Ⅲ,吵架、打架,,自,,
,ぶしぎ,不思議,0,ナ形,不可思议,,,,
,ねんれい,年齡,0,名,年龄,,,,
,しかた,仕方,0,名,方法、办法,,,,
