,ほしい,欲しい,2,イ形,想要,,,,
,なつやすみ,夏休み,3,名,暑假,,,,
,おきなわ,沖縄,0,名,冲绳,,,,
疲れます,つかれる,疲れる,3,動Ⅱ,累(表示“累了”这一状态时用「つかれました」),,自,,
,たいへん,大変,0,ナ形,很(累人)、相当(辛苦)(表示相当糟糕、不好的状态),,,,
,しゅうまつ,週末,0,名,周末,,,,
,びじゅつ,美術,1,名,美术,,,,
,ぶゆやすみ,冬休み,3,名,寒假,,,,
,どこか,,-1,連語,哪里(表示不特定的某个地方),,,,
,スキー,,2,名,滑雪(~をします:滑雪),ski,,,
,べつべつに,別々に,0,副,分别,,,,
,ちゅうもん,注文,0,名,订货,ご注文は(ごちゅうもんは):您点什么?,,,
,ていしょく,定食,0,名,套餐,,,,
,ぎゅうどん,牛丼,0,名,牛肉盖饭,,,,
,しょうしょう,少々,1,副,稍微,,,,
,[しょう々]おまちください,[少々]お待ちください,-1,,请稍等。,,,,
,~でございます,~でござる,-1,,「です」的礼貌用语,,,,
結婚します,けっこんする,結婚する,0,動Ⅲ,结婚,,自,,
遊びます,あそぶ,遊ぶ,0,動Ⅰ,玩、玩耍,,自,,
,アキックス,,-1,名,阿基克斯(虚构的公司),,,,
,ひろい,広い,2,イ形,宽,,,,
迎えます,むかえる,迎える,0,動Ⅱ,迎接,友達を迎えます(ともだちをむかえます):接朋友,他,,
散歩します,さんぽする,散歩する,0,動Ⅲ,散步,公園を散步します(こうえんをさんぽします):在公园散步。,自,,
買い物します,かいものする,買い物する,0,動Ⅲ,买东西、购物,,自,,
食事します,しょくじする,食事する,0,動Ⅲ,吃饭、用餐,,自,,
,かわ,川,2,名,河流,,,,
,つり,釣り,0,名,钓鱼(~をします:钓鱼),,,,
泳ぎます,およぐ,泳ぐ,2,動Ⅰ,游泳,プールで泳ぎます(プールでおよぎます):在泳池游泳。,自,,
,プール,,1,名,游泳池,pool,,,
,~ごろ,~頃,-1,接尾,~左右(表示时间),2時ごろ(にじごろ):两点左右,,,
,おはようテレビ,,-1,名,早安电视台(虚构的电视台),,,,
,せまい,狭い,2,イ形,窄,,,,
,のど,喉,1,名,喉咙,,,,
渴きます,かわく,渴く,2,動Ⅰ,干、渴,のどが渴きます(のどがかわきます):口渴(表示“渴了”这一状态时用「のどがかわきました」),自,,
,なにか,何か,-1,連語,什么(表示不特定的某件事情或某一物品),,,,
,そうしましょう,,-1,,就这样干吧。(表示同意去做对方提议的事情),,,,
,おなか,お腹,0,名,肚子,,,,
空きます,すく,空く,0,動Ⅰ,空、饿,おなかがすきます:肚子饿(表示“饿了”这一状态时用「おなかがすきました」),自,,
,[お]しょうがつ,お正月,0,名,新年,,,,
