せんせんしゅう,先々週,上上星期
にしゅうかんまえ,二週間前,两星期前
せんしゅう,先週,上星期
こんしゅう,今週,这星期
らいしゅう,来週,下星期
さらいしゅう,再来週,下下星期
まいしゅう,毎週,每星期
せんせんげつ,先々月,上上个月
にかげつまえ,二か月前,两个月前
せんげつ,先月,上个月
こんげつ,今月,这个月
らいげつ,来月,下个月
さらいげつ,再来月,下下个月
まいつき,毎月,每个月
おととし,一昨年,前年
きょねん,去年,去年
ことし,今年,今年
らいねん,来年,明年
さらいねん,再来年,后年
まいとし,毎年,每年
まいねん,毎年,每年
