いちじかん,一時間,一个小时
にじかん,二時間,二个小时
さんじかん,三時間,三个小时
よじかん,四時間,四个小时
ごじかん,五時間,五个小时
ろくじかん,六時間,六个小时
ななじかん,七時間,七个小时
しちじかん,七時間,七个小时
はちじかん,八時間,八个小时
くじかん,九時間,九个小时
じゅうじかん,十時間,十个小时
はん,,半小时
なんじかん,何時間,几个小时
