いっしゅうかん,一週間,一个星期
にしゅうかん,二週間,两个星期
さんしゅうかん,三週間,三个星期
よんしゅうかん,四週間,四个星期
ごしゅうかん,五週間,五个星期
ろくしゅうかん,六週間,六个星期
ななしゅうかん,七週間,七个星期
はっしゅうかん,八週間,八个星期
きゅうしゅうかん,九週間,九个星期
じゅっしゅうかん,十週間,十个星期
じっしゅうかん,十週間,十个星期
なんしゅうかん,何週間,几个星期
