いっかげつ,一か月,一个月
にかげつ,二か月,二个月
さんかげつ,三か月,三个月
よんかげつ,四か月,四个月
ごかげつ,五か月,五个月
ろっかげつ,六か月,六个月
はんとし,半年,半年
ななかげつ,七か月,七个月
はちかげつ,八か月,八个月
はっかげつ,八か月,八个月
きゅうかげつ,九か月,九个月
じゅっかげつ,十か月,十个月
じっかげつ,十か月,十个月
なんかげつ,何か月,几个月
