せんせんしゅう,先々週,上上星期
にしゅうかんまえ,二週間前,两星期前
せんしゅう,先週,上星期
こんしゅう,今週,这星期
らいしゅう,来週,下星期
さらいしゅう,再来週,下下星期
まいしゅう,毎週,每星期
